year_month,Unnamed: 0,dup_age_0_to_2,dup_age_19_to_54,dup_age_3_to_18,dup_age_55_plus,dup_age_anonymous,dup_hh_visits,dup_indivdiduals,dup_weight,total_age_0_to_2,total_age_19_to_54,total_age_3_to_18,total_age_55_plus,total_age_anonymous,total_hh_visits,total_indivdiduals,total_weight,undup_age_0_to_2,undup_age_19_to_54,undup_age_3_to_18,undup_age_55_plus,undup_age_anonymous,undup_hh_visits,undup_indivdiduals,undup_weight,unique_volunteers,volunteer_count,volunteer_count_ytd,volunteer_hours,volunteer_hours_ytd
2023-07,0,,,,,,,,,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,2,2,4,11.0,11.0
2023-08,1,0.0,6.0,4.0,17.0,0.0,18.0,27.0,27.0,3,51,27,42,1,57,124,124,3,45,23,25,1,39,97,97,2,2,12,115.837,126.837
2023-09,2,2.0,12.0,10.0,11.0,2.0,14.0,37.0,37.0,3,14,11,12,2,15,42,42,1,2,1,1,0,1,5,5,1,1,12,5.5,132.337
2023-10,3,23.0,297.0,191.0,123.0,0.0,199.0,634.0,634.0,72,848,560,278,9,495,1767,1767,49,551,369,155,9,296,1133,1133,11,11,20,386.25,518.587
2023-11,4,55.0,722.0,532.0,260.0,18.0,430.0,1587.0,1587.0,67,848,644,293,22,501,1874,1874,12,126,112,33,4,71,287,287,12,12,23,406.75,925.337
2023-12,5,53.0,725.0,571.0,276.0,25.0,449.0,1650.0,1650.0,58,791,628,296,25,484,1798,1798,5,66,57,20,0,35,148,148,8,8,23,410.25,1335.587
2024-01,6,14.0,292.0,235.0,98.0,1.0,174.0,640.0,640.0,53,761,603,247,20,452,1684,1684,39,469,368,149,19,278,1044,1044,12,12,12,348.5,348.5
2024-02,7,42.0,558.0,452.0,206.0,18.0,340.0,1276.0,1276.0,52,719,565,244,19,421,1599,1599,10,161,113,38,1,81,323,323,12,12,15,396.8,745.3
2024-03,8,64.0,750.0,626.0,249.0,12.0,433.0,1701.0,1701.0,77,887,739,286,13,508,2002,2002,13,137,113,37,1,75,301,301,12,12,16,331.8,1077.1
2024-04,9,65.0,776.0,624.0,267.0,5.0,442.0,1737.0,1737.0,81,877,673,285,5,490,1921,1921,16,101,49,18,0,48,184,184,16,16,18,351.751,1428.8509999999999
2024-05,10,64.0,691.0,504.0,238.0,7.0,399.0,1504.0,1504.0,67,723,529,248,7,419,1574,1574,3,32,25,10,0,20,70,70,11,11,19,230.0,1658.8509999999999
2024-06,11,73.0,740.0,570.0,271.0,17.0,434.0,1671.0,1671.0,79,817,627,292,21,471,1836,1836,6,77,57,21,4,37,165,165,12,12,19,257.0,1915.8509999999999
2024-07,12,70.0,720.0,553.0,261.0,10.0,415.0,1614.0,1614.0,74,773,587,270,10,446,1714,1714,4,53,34,9,0,31,100,100,14,14,19,347.25,2263.1009999999997
2024-08,13,72.0,789.0,615.0,318.0,27.0,482.0,1821.0,1821.0,86,865,680,323,34,517,1988,1988,14,76,65,5,7,35,167,167,12,12,19,357.0,2620.1009999999997
2024-09,14,83.0,792.0,590.0,278.0,15.0,456.0,1758.0,1758.0,86,839,632,290,16,487,1863,1863,3,47,42,12,1,31,105,105,11,11,19,299.0,2919.1009999999997
2024-10,15,89.0,814.0,644.0,274.0,47.0,479.0,1868.0,1868.0,96,880,698,292,47,518,2013,2013,7,66,54,18,0,39,145,145,11,11,19,347.0,3266.1009999999997
2024-11,16,104.0,952.0,780.0,367.0,43.0,578.0,2246.0,2246.0,108,1035,846,385,44,625,2418,2418,4,83,66,18,1,47,172,172,12,12,19,380.0,3646.1009999999997
2024-12,17,75.0,786.0,692.0,278.0,15.0,468.0,1846.0,1846.0,82,853,742,282,16,504,1975,1975,7,67,50,4,1,36,129,129,10,10,19,405.0,4051.1009999999997
2025-01,18,30.0,283.0,232.0,128.0,4.0,177.0,677.0,677.0,86,865,736,325,21,520,2033,2033,56,582,504,197,17,343,1356,1356,12,12,12,419.0,419.0
2025-02,19,85.0,784.0,670.0,318.0,18.0,470.0,1875.0,1875.0,106,943,787,353,19,563,2208,2208,21,159,117,35,1,93,333,333,12,12,14,408.0,827.0
2025-03,20,99.0,849.0,704.0,339.0,20.0,496.0,2011.0,2011.0,108,969,779,359,20,567,2235,2235,9,120,75,20,0,71,224,224,14,14,15,583.0,1410.0
2025-04,21,98.0,843.0,699.0,318.0,19.0,484.0,1977.0,1977.0,101,907,730,327,19,524,2084,2084,3,64,31,9,0,40,107,107,12,12,16,518.0,1928.0
2025-05,22,105.0,836.0,715.0,332.0,8.0,494.0,1996.0,1996.0,109,900,748,349,8,537,2114,2114,4,64,33,17,0,43,118,118,11,11,16,572.0,2500.0
2025-06,23,79.0,776.0,603.0,340.0,18.0,473.0,1816.0,1816.0,83,840,645,350,20,508,1938,1938,4,64,42,10,2,35,122,122,16,16,20,548.0,3048.0
2025-07,24,81.0,704.0,572.0,307.0,33.0,437.0,1697.0,15954.0,86,736,592,315,61,464,1790,17159,5,32,20,8,28,27,93,1205,39,39,45,445.5,3493.5
2025-08,25,89.0,756.0,597.0,337.0,21.0,470.0,1800.0,27260.0,94,809,616,357,21,511,1897,29638,5,53,19,20,0,41,97,2378,56,56,68,492.0,3985.5
2025-09,26,87.0,814.0,631.0,346.0,17.0,495.0,1895.0,26560.0,91,834,647,359,17,511,1948,27468,4,20,16,13,0,16,53,908,67,67,87,535.5,4521.0
2025-10,27,119.0,918.0,730.0,359.0,13.0,549.0,2139.0,31842.0,121,974,752,369,23,580,2239,33640,2,56,22,10,10,31,100,1798,50,50,92,426.0,4947.0
2025-11,28,128.0,1115.0,876.0,438.0,16.0,692.0,2573.0,40136.0,134,1202,943,458,16,740,2753,42920,6,87,67,20,0,48,180,2784,69,69,102,569.25,5516.25
2025-12,29,102.0,1008.0,774.0,400.0,19.0,619.0,2303.0,35844.0,104,1045,793,407,19,642,2368,37178,2,37,19,7,0,23,65,1334,65,65,110,584.65,6100.9
2026-01,30,30.0,332.0,249.0,152.0,9.0,221.0,772.0,12818.0,93,978,722,385,20,616,2198,35718,63,646,473,233,11,395,1426,22900,73,73,73,442.0,442.0
2026-02,31,79.0,804.0,633.0,347.0,20.0,500.0,1883.0,29000.0,94,943,742,395,20,598,2194,34684,15,139,109,48,0,98,311,5684,70,70,89,428.5,870.5
2026-03,32,82.0,864.0,690.0,371.0,7.0,548.0,2014.0,31784.0,85,930,736,389,16,600,2156,34800,3,66,46,18,9,52,142,3016,81,81,99,511.0,1381.5
