week_start,Monday,Tuesday,Total
2023-07-17,,,0.0
2023-07-31,,,0.0
2023-08-07,,5.0,5.0
2023-08-14,1.0,,1.0
2023-08-21,,,0.0
2023-08-28,,26.0,26.0
2023-09-04,2.0,,2.0
2023-09-11,,,0.0
2023-09-18,2.0,,2.0
2023-09-25,2.0,,2.0
2023-10-02,,,0.0
2023-10-09,167.0,81.0,248.0
2023-10-23,159.0,87.0,246.0
2023-11-13,170.0,90.0,260.0
2023-11-20,172.0,69.0,241.0
2023-12-11,173.0,81.0,254.0
2023-12-18,150.0,79.0,229.0
2024-01-08,134.0,81.0,215.0
2024-01-22,157.0,80.0,237.0
2024-02-12,184.0,81.0,265.0
2024-02-26,154.0,1.0,155.0
2024-03-11,159.0,88.0,247.0
2024-03-25,179.0,82.0,261.0
2024-04-08,170.0,76.0,246.0
2024-04-22,165.0,79.0,244.0
2024-05-06,136.0,62.0,198.0
2024-05-20,162.0,59.0,221.0
2024-06-10,150.0,94.0,244.0
2024-06-24,162.0,65.0,227.0
2024-07-08,134.0,85.0,219.0
2024-07-22,148.0,79.0,227.0
2024-08-12,167.0,96.0,263.0
2024-08-26,171.0,83.0,254.0
2024-09-09,163.0,90.0,253.0
2024-09-23,153.0,81.0,234.0
2024-10-07,149.0,111.0,260.0
2024-10-21,165.0,93.0,258.0
2024-11-11,176.0,116.0,292.0
2024-11-25,238.0,95.0,333.0
2024-12-09,196.0,92.0,288.0
2024-12-16,144.0,72.0,216.0
2025-01-13,177.0,91.0,268.0
2025-01-27,146.0,106.0,252.0
2025-02-10,179.0,105.0,284.0
2025-02-24,171.0,108.0,279.0
2025-03-10,160.0,119.0,279.0
2025-03-17,,1.0,1.0
2025-03-24,182.0,105.0,287.0
2025-04-07,171.0,109.0,280.0
2025-04-21,131.0,113.0,244.0
2025-05-05,166.0,88.0,254.0
2025-05-19,201.0,82.0,283.0
2025-06-09,140.0,118.0,258.0
2025-06-23,167.0,83.0,250.0
2025-07-07,149.0,90.0,239.0
2025-07-21,144.0,81.0,225.0
2025-08-11,158.0,88.0,246.0
2025-08-25,165.0,100.0,265.0
2025-09-08,165.0,94.0,259.0
2025-09-22,164.0,88.0,252.0
2025-10-13,209.0,72.0,281.0
2025-10-27,216.0,83.0,299.0
2025-11-10,213.0,109.0,322.0
2025-11-24,303.0,115.0,418.0
2025-12-08,211.0,94.0,305.0
2025-12-22,237.0,100.0,337.0
2026-01-12,212.0,101.0,313.0
2026-01-26,199.0,104.0,303.0
2026-02-09,195.0,103.0,298.0
2026-02-23,221.0,79.0,300.0
2026-03-09,204.0,88.0,292.0
2026-03-23,213.0,95.0,308.0
