Monthly Visit Date,# of HH Visits,0 to 2,3 to 18,19 to 54,55+,Age: Not Provided,Total Individuals,Total weight
2023-07,1,0,0,0,1,0,1,1
2023-08,57,3,27,51,42,1,124,124
2023-09,15,3,11,14,12,2,42,42
2023-10,495,72,560,848,278,9,1767,1767
2023-11,501,67,644,848,293,22,1874,1874
2023-12,484,58,628,791,296,25,1798,1798
2024-01,452,53,603,761,247,20,1684,1684
2024-02,421,52,565,719,244,19,1599,1599
2024-03,508,77,739,887,286,13,2002,2002
2024-04,490,81,673,877,285,5,1921,1921
2024-05,419,67,529,723,248,7,1574,1574
2024-06,471,79,627,817,292,21,1836,1836
2024-07,446,74,587,773,270,10,1714,1714
2024-08,517,86,680,865,323,34,1988,1988
2024-09,487,86,632,839,290,16,1863,1863
2024-10,518,96,698,880,292,47,2013,2013
2024-11,625,108,846,1035,385,44,2418,2418
2024-12,504,82,742,853,282,16,1975,1975
2025-01,520,86,736,865,325,21,2033,2033
2025-02,563,106,787,943,353,19,2208,2208
2025-03,567,108,779,969,359,20,2235,2235
2025-04,524,101,730,907,327,19,2084,2084
2025-05,537,109,748,900,349,8,2114,2114
2025-06,508,83,645,840,350,20,1938,1938
2025-07,464,86,592,736,315,61,1790,17159
2025-08,511,94,616,809,357,21,1897,29638
2025-09,511,91,647,834,359,17,1948,27468
2025-10,580,121,752,974,369,23,2239,33640
2025-11,740,134,943,1202,458,16,2753,42920
2025-12,642,104,793,1045,407,19,2368,37178
2026-01,616,93,722,978,385,20,2198,35718
2026-02,598,94,742,943,395,20,2194,34684
2026-03,600,85,736,930,389,16,2156,34800
