Monthly Visit Date,# of HH Visits,0 to 2,3 to 18,19 to 54,55+,Age: Not Provided,Total Individuals,Total weight
2023-07,1,0,0,0,1,0,1,1
2023-08,39,3,23,45,25,1,97,97
2023-09,1,1,1,2,1,0,5,5
2023-10,296,49,369,551,155,9,1133,1133
2023-11,71,12,112,126,33,4,287,287
2023-12,35,5,57,66,20,0,148,148
2024-01,278,39,368,469,149,19,1044,1044
2024-02,81,10,113,161,38,1,323,323
2024-03,75,13,113,137,37,1,301,301
2024-04,48,16,49,101,18,0,184,184
2024-05,20,3,25,32,10,0,70,70
2024-06,37,6,57,77,21,4,165,165
2024-07,31,4,34,53,9,0,100,100
2024-08,35,14,65,76,5,7,167,167
2024-09,31,3,42,47,12,1,105,105
2024-10,39,7,54,66,18,0,145,145
2024-11,47,4,66,83,18,1,172,172
2024-12,36,7,50,67,4,1,129,129
2025-01,343,56,504,582,197,17,1356,1356
2025-02,93,21,117,159,35,1,333,333
2025-03,71,9,75,120,20,0,224,224
2025-04,40,3,31,64,9,0,107,107
2025-05,43,4,33,64,17,0,118,118
2025-06,35,4,42,64,10,2,122,122
2025-07,27,5,20,32,8,28,93,1205
2025-08,41,5,19,53,20,0,97,2378
2025-09,16,4,16,20,13,0,53,908
2025-10,31,2,22,56,10,10,100,1798
2025-11,48,6,67,87,20,0,180,2784
2025-12,23,2,19,37,7,0,65,1334
2026-01,395,63,473,646,233,11,1426,22900
2026-02,98,15,109,139,48,0,311,5684
2026-03,52,3,46,66,18,9,142,3016
2026-04,59,12,51,93,13,0,169,3422
